schema,mongo_query,natural_language_query
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""timestamp"": {""$gte"": 1699500000, ""$lte"": 1700000000},
    ""severity_level"": 3
}, {
    ""vehicle_details"": 1
})'''",Get all vehicle details of events occurring between timestamps 1699500000 and 1700000000 with severity level 3.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""vehicle_details.license_plate_number"": {""$regex"": ""^MH12""},
    ""sensor_readings.speed"": {""$gt"": 100}
})'''",Retrieve all events where the vehicle's license plate starts with 'MH12' and the speed exceeds 100 km/h.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""severity_level"": 3,
    ""camera_id"": 15,
    ""timestamp"": {""$gte"": 1700000000, ""$lte"": 1701000000}
})'''",Find all high-severity events captured by camera_id 15 between timestamps 1700000000 and 1701000000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""camera_id"": 12,
    ""sensor_readings.distance"": {""$gt"": 500},
    ""incident_type"": ""speeding""
})'''",Find all events captured by camera_id 12 where the distance is over 500 meters and the incident type is 'speeding'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""person_details.age"": {""$gte"": 20, ""$lte"": 40}
}, {
    ""vehicle_details"": 1
})'''","List all events where the age of the person involved is between 20 and 40, along with the corresponding vehicle details."
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""location.latitude"": {""$gt"": 34.0}, ""incident_type"": ""unauthorized access""})'''",Retrieve events where the latitude is greater than 34.0 and the incident type is 'unauthorized access'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""vehicle_details.license_plate_number"": {""$regex"": ""XYZ$""},
    ""sensor_readings.speed"": {""$gt"": 80}
})'''",Find all incidents with vehicles that have license plates ending in 'XYZ' and where the speed was above 80 km/h.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the event""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Identifier of the camera that captured the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""Vehicle's license plate number""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed reading of the vehicle""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance traveled by the vehicle""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""incident_type"": ""accident"",
    ""timestamp"": {""$gte"": <current_epoch_time> - 604800}
}, {
    ""vehicle_details"": 1
})'''","List incidents classified as 'accident' that occurred in the last week, along with the vehicle details."
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person matched""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the time of the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.speed"": {""$gt"": 100}})'''",Get all incidents where the vehicle speed exceeded 100 km/h.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person matched""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the time of the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""camera_id"": 12, ""severity_level"": 2, ""vehicle_details.color"": ""red""})'''","Retrieve all incidents where the camera_id is 12 and severity_level is 2, and the vehicle's color is red."
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person matched""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the time of the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.license_plate_number"": {""$regex"": ""^MH12""}})'''",List all vehicles with license plates starting with 'MH12'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person matched""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the time of the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""camera_id"": {""$gte"": 10, ""$lte"": 20}})'''",Find events captured by cameras with IDs between 10 and 20.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person matched""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the time of the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""severity_level"": 3})'''",Find all events where the severity level is high.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event timestamp in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""ID of the camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique identifier for the person matched""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the person's clothing""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading from sensors""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance covered by the vehicle at the time of the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": 1700000000, ""$lte"": 1701000000}})'''",Retrieve incidents recorded between timestamps 1700000000 and 1701000000.
