schema,mongo_query,natural_language_query,additional_info
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}","db.incident_reports.find({timestamp: {$gte: ISODate('2024-02-13T14:00:00Z')}, 'location.zone': 'C4'})",Find incidents reported during the last 30 days in zone 'C4',current time is '2024-03-15T14:00:00Z'; last 30 days is '2024-02-13T14:00:00Z'
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}","db.incident_reports.find({ 'location.address': '123 Elm St', 'timestamp': { $gte: new Date('2024-02-20T00:00:00Z'), $lt: new Date('2024-02-21T00:00:00Z') } })","Get incidents reported from the address '123 Elm St' on February 20, 2024",timestamp: '2024-02-20T00:00:00Z'
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}","db.incident_reports.find({incident_type: 'vandalism', 'witnesses.statement': /saw/i})",Show all vandalism reports with a witness statement containing the word 'saw',na
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}","db.incident_reports.find({ 'related_vehicles.1': { $exists: true }, 'incident_type': 'accident' })",Get reports with multiple vehicles involved in accidents,na
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}","db.incident_reports.find({timestamp: {$gte: ISODate('2024-01-01T00:00:00Z'), $lt: ISODate('2024-02-01T00:00:00Z')}, witnesses: {$exists: true, $not: {$size: 0}}})","List incidents occurring between January 1, 2024, and January 31, 2024, with at least one witness",between '2024-01-01T00:00:00Z' and '2024-01-31T23:59:59Z'
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}",db.incident_reports.find({ 'witnesses.name': 'John Doe' }),Show all reports with a witness named 'John Doe',na
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}",db.incident_reports.find({severity_level: 5}),Retrieve all incidents with severity level equal to 5,na
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}",db.incident_reports.find({ 'related_vehicles.color': 'black' }),Find all reports that mention a black vehicle,na
"{""collections"": [{""name"": ""incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Timestamp of when the incident was reported""}, ""location"": {""bsonType"": ""object"", ""properties"": {""address"": {""bsonType"": ""string"", ""description"": ""Address of the incident location""}, ""zone"": {""bsonType"": ""string"", ""description"": ""The zone identifier for the area""}}}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident from 1 to 5""}, ""incident_type"": {""bsonType"": ""string"", ""enum"": [""theft"", ""vandalism"", ""assault"", ""accident""], ""description"": ""Type of incident reported""}, ""witnesses"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""name"": {""bsonType"": ""string"", ""description"": ""Name of the witness""}, ""contact_info"": {""bsonType"": ""string"", ""description"": ""Contact information of the witness""}, ""statement"": {""bsonType"": ""string"", ""description"": ""Witness statement regarding the incident""}}}, ""description"": ""List of witnesses and their statements""}, ""related_vehicles"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""plate_number"": {""bsonType"": ""string"", ""description"": ""License plate number of the vehicle""}}}, ""description"": ""Details of vehicles related to the incident""}}}}], ""version"": 1}","db.incident_reports.find({incident_type: 'accident', timestamp: {$gte: ISODate('2024-03-15T13:00:00Z')}}).sort({timestamp: -1}).limit(5)",Get the latest 5 reports of accidents within the last hour,current time is '2024-03-15T14:00:00Z'; last hour is '2024-03-15T13:00:00Z'
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}",db.security_camera_footage.find({alert_level: {$gt: 3}}),Find footage with an alert level greater than 3.,na
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}","db.security_camera_footage.find({ 'object_detected': { $elemMatch: { 'object_type': 'person', 'attributes.gender': 'unknown' } }, 'location': 'A' })",Find footage involving unknown gender persons around camera location A.,na
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}","db.security_camera_footage.find({timestamp: {$gte: ISODate('2024-03-01T00:00:00Z'), $lt: ISODate('2024-03-06T00:00:00Z')}, 'object_detected.object_type': 'vehicle'})",List recordings between 2024-03-01 and 2024-03-05 capturing vehicles.,between 2024-03-01 and 2024-03-05
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}","db.security_camera_footage.find({ 'object_detected.attributes.color': 'red', 'timestamp': { $gte: ISODate('2024-03-14T15:00:00Z') } })",Search for objects with color 'red' detected in the past 24 hours.,current time is '2024-03-15T15:00:00Z'
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}",db.security_camera_footage.find({location: 'Main Street'}),Show all objects detected at location 'Main Street'.,na
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}",db.security_camera_footage.find({}).sort({alert_level: -1}).limit(10),Show the top 10 footage records with the highest alert levels.,na
"{""collections"": [{""name"": ""security_camera_footage"", ""document"": {""properties"": {""record_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the footage record""}, ""camera_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the camera that captured the footage""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time when the footage was recorded""}, ""event_type"": {""bsonType"": ""string"", ""description"": ""Type of event captured (e.g., 'intrusion', 'movement', 'suspicious_activity')""}, ""object_detected"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""object_id"": {""bsonType"": ""string"", ""description"": ""Identifier for the detected object""}, ""object_type"": {""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal""], ""description"": ""Type of detected object""}, ""attributes"": {""bsonType"": ""object"", ""properties"": {""color"": {""bsonType"": ""string"", ""description"": ""Color of the detected object""}, ""size"": {""bsonType"": ""string"", ""description"": ""Size of the detected object (e.g., 'small', 'medium', 'large')""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""], ""description"": ""Gender of a detected person, if applicable""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Estimated speed of the detected vehicle, if applicable""}}}}}, ""description"": ""List of objects detected in the footage""}, ""alert_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Alert level based on detected activity""}, ""location"": {""bsonType"": ""string"", ""description"": ""Location where the camera is installed""}}}}], ""version"": 1}","db.security_camera_footage.find({camera_id: '123', event_type: 'suspicious_activity'})",List all recordings from camera 123 with suspicious activity.,na
